nummer;id;version;resolution;seed;profession;race1;race2;gender1;gender2;large1;large2;position1;position2;machtposition1;machtposition2
316;v3_5_doctor_00036;3_5;1024x1024;3.10403E+13;doctor;1;1;1;2;1;2;2;1;3;3
317;v3_5_doctor_00037;3_5;1024x1024;3.10403E+13;doctor;1;2;2;2;2;1;3;3;1;2
318;v3_5_doctor_00038;3_5;1024x1024;3.10403E+13;doctor;1;1;1;2;3;3;2;1;1;2
319;v3_5_doctor_00039;3_5;1024x1024;3.10403E+13;doctor;1;1;2;1;2;1;3;3;3;3
320;v3_5_doctor_00040;3_5;1024x1024;3.10403E+13;doctor;1;1;1;2;1;2;3;3;3;3
321;v3_5_doctor_00041;3_5;1024x1024;3.10403E+13;doctor;1;1;1;2;1;2;2;1;1;2
322;v3_5_doctor_00042;3_5;1024x1024;3.10403E+13;doctor;2;1;2;1;2;1;1;2;1;2
323;v3_5_doctor_00043;3_5;1024x1024;3.10403E+13;doctor;2;1;2;2;3;3;2;1;2;1
324;v3_5_doctor_00044;3_5;1024x1024;3.10403E+13;doctor;1;1;2;1;2;1;1;2;3;3
325;v3_5_doctor_00045;3_5;1024x1024;3.10403E+13;doctor;1;1;1;2;1;2;2;1;1;2
326;v3_5_doctor_00046;3_5;1024x1024;3.10403E+13;doctor;1;1;1;2;3;3;1;2;3;3
327;v3_5_doctor_00047;3_5;1024x1024;3.10403E+13;doctor;1;2;1;2;1;2;3;3;1;2
328;v3_5_doctor_00048;3_5;1024x1024;3.10403E+13;doctor;2;1;1;2;3;3;3;3;3;3
329;v3_5_doctor_00049;3_5;1024x1024;3.10403E+13;doctor;1;1;2;2;2;1;2;1;3;3
330;v3_5_doctor_00050;3_5;1024x1024;3.10403E+13;doctor;1;2;2;1;2;1;1;2;3;3
331;v3_5_doctor_00051;3_5;1024x1024;3.10403E+13;doctor;1;1;2;2;2;1;2;1;3;3
332;v3_5_doctor_00052;3_5;1024x1024;3.10403E+13;doctor;1;1;1;2;1;2;1;2;3;3
333;v3_5_doctor_00053;3_5;1024x1024;3.10403E+13;doctor;1;1;1;2;1;2;2;1;1;2
334;v3_5_doctor_00054;3_5;1024x1024;3.10403E+13;doctor;1;1;1;2;1;2;2;1;3;3
335;v3_5_doctor_00055;3_5;1024x1024;3.10403E+13;doctor;2;2;1;2;2;1;3;3;3;3
336;v3_5_doctor_00056;3_5;1024x1024;3.10403E+13;doctor;1;1;1;2;1;2;2;1;3;3
337;v3_5_doctor_00057;3_5;1024x1024;3.10403E+13;doctor;2;1;2;2;1;2;1;2;1;2
338;v3_5_doctor_00058;3_5;1024x1024;3.10403E+13;doctor;1;1;2;1;2;1;1;2;1;2
339;v3_5_doctor_00059;3_5;1024x1024;3.10403E+13;doctor;1;1;2;1;2;1;2;1;3;3
340;v3_5_doctor_00060;3_5;1024x1024;3.10403E+13;doctor;1;1;2;2;3;3;1;2;3;3
